Время [c],Напряжение[B]
0.0000,1.9887
0.0006,1.9887
0.0013,1.9887
0.0019,1.9938
0.0026,1.9887
0.0032,1.9887
0.0039,1.9887
0.0045,1.9887
0.0051,1.9887
0.0058,1.9887
0.0064,1.9837
0.0071,1.9938
0.0077,1.9887
0.0083,1.9887
0.0090,1.9786
0.0097,1.9887
0.0103,1.9938
0.0110,1.9887
0.0118,1.9786
0.0125,1.9887
0.0132,1.9887
0.0138,1.9887
0.0145,1.9837
0.0152,1.9887
0.0158,1.9837
0.0165,1.9887
0.0172,1.9887
0.0179,1.9887
0.0186,1.9887
0.0193,1.9887
0.0200,1.9786
0.0207,1.9887
0.0215,1.9837
0.0222,1.9837
0.0229,1.9887
0.0235,1.9786
0.0243,1.9887
0.0249,1.9887
0.0256,1.9837
0.0262,1.9887
0.0269,1.9887
0.0276,1.9887
0.0283,1.9887
0.0290,1.9837
0.0296,1.9837
0.0304,1.9887
0.0310,1.9837
0.0317,1.9887
0.0323,1.9837
0.0330,1.9837
0.0337,1.9887
0.0343,1.9837
0.0350,1.9837
0.0356,1.9887
0.0363,1.9887
0.0370,1.9837
0.0376,1.9786
0.0383,1.9837
0.0389,1.9887
0.0396,1.9837
0.0453,1.9786
0.0459,1.9887
0.0467,1.9887
0.0474,1.9887
0.0483,1.9887
0.0491,1.9837
0.0498,1.9837
0.0506,1.9735
0.0513,1.9786
0.0521,1.9887
0.0528,1.9837
0.0537,1.9786
0.0545,1.9837
0.0552,1.9837
0.0561,1.9887
0.0570,1.9887
0.0578,1.9837
0.0586,1.9837
0.0595,1.9786
0.0603,1.9786
0.0610,1.9837
0.0619,1.9786
0.0628,1.9837
0.0635,1.9837
0.0643,1.9837
0.0651,1.9837
0.0659,1.9837
0.0666,1.9837
0.0674,1.9837
0.0681,1.9786
0.0687,1.9786
0.0693,1.9837
0.0700,1.9837
0.0707,1.9837
0.0713,1.9887
0.0720,1.9837
0.0727,1.9735
0.0734,1.9837
0.0740,1.9837
0.0747,1.9837
0.0753,1.9837
0.0761,1.9887
0.0767,1.9786
0.0774,1.9786
0.0781,1.9837
0.0787,1.9837
0.0794,1.9837
0.0801,1.9837
0.0808,1.9837
0.0815,1.9837
0.0821,1.9735
0.0828,1.9837
0.0835,1.9837
0.0842,1.9837
0.0848,1.9837
0.0855,1.9786
0.0861,1.9786
0.0869,1.9837
0.0876,1.9786
0.0882,1.9837
0.0889,1.9837
0.0896,1.9786
0.0903,1.9837
0.0910,1.9786
0.0917,1.9837
0.0924,1.9735
0.0930,1.9735
0.0937,1.9837
0.0944,1.9837
0.0951,1.9837
0.0957,1.9837
0.0964,1.9837
0.0971,1.9837
0.0978,1.9786
0.0986,1.9684
0.0993,1.9786
0.1000,1.9837
0.1006,1.9837
0.1013,1.9837
0.1020,1.9735
0.1027,1.9837
0.1034,1.9837
0.1041,1.9837
0.1048,1.9837
0.1055,1.9786
0.1062,1.9786
0.1069,1.9684
0.1076,1.9786
0.1083,1.9735
0.1090,1.9735
0.1097,1.9786
0.1104,1.9735
0.1111,1.9786
0.1118,1.9786
0.1126,1.9786
0.1133,1.9786
0.1139,1.9837
0.1146,1.9837
0.1153,1.9735
0.1160,1.9786
0.1167,1.9786
0.1173,1.9786
0.1180,1.9735
0.1187,1.9786
0.1194,1.9786
0.1201,1.9786
0.1208,1.9786
0.1215,1.9837
0.1221,1.9786
0.1228,1.9786
0.1234,1.9786
0.1241,1.9786
0.1248,1.9786
0.1255,1.9786
0.1263,1.9786
0.1270,1.9735
0.1278,1.9786
0.1286,1.9837
0.1293,1.9786
0.1300,1.9735
0.1310,1.9786
0.1317,1.9786
0.1327,1.9786
0.1334,1.9786
0.1341,1.9786
0.1348,1.9786
0.1354,1.9837
0.1361,1.9786
0.1367,1.9786
0.1374,1.9684
0.1380,1.9786
0.1387,1.9786
0.1394,1.9684
0.1401,1.9786
0.1408,1.9786
0.1415,1.9786
0.1421,1.9786
0.1428,1.9786
0.1434,1.9786
0.1441,1.9735
0.1448,1.9786
0.1455,1.9786
0.1462,1.9634
0.1469,1.9735
0.1475,1.9735
0.1482,1.9786
