Время [c],Напряжение[B]
0.0000,2.1206
0.0007,2.1206
0.0013,2.1105
0.0019,2.1206
0.0025,2.1105
0.0032,2.1257
0.0038,2.1156
0.0045,2.1206
0.0051,2.1206
0.0057,2.1206
0.0067,2.1156
0.0074,2.1105
0.0081,2.1206
0.0089,2.1156
0.0096,2.1105
0.0104,2.1206
0.0112,2.1105
0.0120,2.1156
0.0129,2.1156
0.0136,2.1206
0.0145,2.1105
0.0153,2.1105
0.0160,2.1206
0.0168,2.1257
0.0175,2.1156
0.0182,2.1257
0.0190,2.1206
0.0197,2.1206
0.0205,2.1206
0.0213,2.1156
0.0220,2.1206
0.0227,2.1156
0.0235,2.1206
0.0242,2.1206
0.0249,2.1206
0.0257,2.1206
0.0264,2.1206
0.0272,2.1206
0.0279,2.1206
0.0287,2.1156
0.0294,2.1206
0.0301,2.1156
0.0309,2.1206
0.0316,2.1206
0.0323,2.1206
0.0330,2.1105
0.0338,2.1105
0.0346,2.1156
0.0354,2.1105
0.0363,2.1206
0.0370,2.1156
0.0378,2.1206
0.0385,2.1156
0.0393,2.1156
0.0400,2.1156
0.0407,2.1156
0.0414,2.1105
0.0421,2.1105
0.0428,2.1206
0.0435,2.1206
0.0442,2.1156
0.0449,2.1156
0.0456,2.1105
0.0464,2.1156
0.0471,2.1206
0.0478,2.1105
0.0484,2.1206
0.0492,2.1206
0.0499,2.1156
0.0507,2.1156
0.0514,2.1105
0.0521,2.1206
0.0528,2.1156
0.0535,2.1156
0.0541,2.1156
0.0549,2.1206
0.0556,2.1156
0.0563,2.1206
0.0570,2.1156
0.0577,2.1156
0.0584,2.1206
0.0591,2.1206
0.0598,2.1206
0.0605,2.1206
0.0612,2.1156
0.0620,2.1156
0.0627,2.1206
0.0634,2.1156
0.0642,2.1105
0.0649,2.1206
0.0657,2.1206
0.0663,2.1105
0.0671,2.1156
0.0678,2.1156
0.0684,2.1206
0.0691,2.1156
0.0698,2.1156
0.0705,2.1156
0.0711,2.1156
0.0718,2.1105
0.0725,2.1206
0.0731,2.1206
0.0738,2.1206
0.0744,2.1206
0.0750,2.1156
0.0757,2.1206
0.0763,2.1156
0.0770,2.1156
0.0777,2.1206
0.0784,2.1206
0.0791,2.1156
0.0798,2.1206
0.0805,2.1105
0.0812,2.1105
0.0819,2.1206
0.0826,2.1156
0.0833,2.1156
0.0841,2.1206
0.0848,2.1105
0.0855,2.1156
0.0862,2.1156
0.0870,2.1156
0.0877,2.1156
0.0883,2.1105
0.0890,2.1206
0.0896,2.1105
0.0902,2.1206
0.0909,2.1206
