Время [c],Напряжение[B]
0.0000,2.3033
0.0006,2.3084
0.0012,2.3084
0.0021,2.3084
0.0027,2.3033
0.0034,2.3033
0.0041,2.3084
0.0048,2.3033
0.0054,2.2931
0.0061,2.3084
0.0068,2.3084
0.0075,2.2982
0.0081,2.2982
0.0092,2.3033
0.0106,2.3084
0.0113,2.3033
0.0120,2.3033
0.0127,2.3084
0.0134,2.3084
0.0141,2.2931
0.0148,2.3084
0.0155,2.2982
0.0162,2.2931
0.0169,2.3084
0.0176,2.3084
0.0183,2.3084
0.0190,2.3084
0.0197,2.3033
0.0204,2.3084
0.0212,2.2982
0.0219,2.3033
0.0225,2.3084
0.0233,2.3084
0.0239,2.3033
0.0246,2.3134
0.0253,2.2982
0.0260,2.2982
0.0266,2.2982
0.0273,2.3084
0.0280,2.3084
0.0286,2.3084
0.0293,2.2982
0.0300,2.3084
0.0307,2.3084
0.0313,2.3033
0.0320,2.3084
0.0327,2.3084
0.0334,2.3134
0.0341,2.3134
0.0347,2.3033
0.0354,2.2982
0.0361,2.3033
0.0367,2.2982
0.0375,2.3033
0.0382,2.3084
0.0389,2.3033
0.0397,2.3084
0.0404,2.3084
0.0411,2.3084
0.0418,2.3033
0.0425,2.3134
0.0432,2.3134
0.0439,2.3033
0.0446,2.3084
0.0453,2.3084
0.0460,2.3134
0.0467,2.3033
0.0474,2.3084
0.0483,2.2982
0.0491,2.3084
0.0498,2.3033
0.0506,2.3134
0.0513,2.3084
0.0520,2.3033
0.0527,2.3084
0.0535,2.3084
0.0542,2.3134
0.0548,2.3084
0.0555,2.3084
0.0562,2.3033
0.0569,2.2982
0.0576,2.3084
0.0584,2.3084
0.0591,2.3084
0.0598,2.3084
0.0605,2.3084
0.0612,2.3033
0.0618,2.3084
0.0624,2.3084
0.0631,2.3084
0.0637,2.3084
0.0643,2.3033
0.0649,2.3084
0.0655,2.3134
0.0661,2.3134
0.0667,2.3033
0.0673,2.3084
0.0680,2.3033
0.0686,2.3033
0.0692,2.3134
0.0698,2.3033
0.0704,2.3033
0.0710,2.3084
0.0716,2.3134
0.0722,2.3084
0.0728,2.3134
0.0734,2.3084
0.0741,2.3084
0.0747,2.2982
0.0753,2.3084
0.0759,2.3084
0.0766,2.2982
0.0772,2.3084
0.0778,2.3084
0.0785,2.3084
0.0791,2.3084
0.0797,2.3033
0.0803,2.3033
0.0809,2.2982
0.0815,2.3084
0.0822,2.3084
0.0828,2.3033
0.0834,2.2982
