Время [c],Напряжение[B]
0.0000,1.6438
0.0007,1.6438
0.0013,1.6438
0.0019,1.6438
0.0025,1.6387
0.0032,1.6438
0.0038,1.6387
0.0044,1.6438
0.0050,1.6387
0.0057,1.6387
0.0063,1.6488
0.0071,1.6438
0.0081,1.6438
0.0088,1.6336
0.0095,1.6438
0.0102,1.6387
0.0109,1.6438
0.0116,1.6438
0.0124,1.6438
0.0134,1.6438
0.0141,1.6438
0.0148,1.6438
0.0155,1.6438
0.0161,1.6438
0.0168,1.6387
0.0175,1.6438
0.0183,1.6387
0.0191,1.6387
0.0198,1.6438
0.0205,1.6438
0.0212,1.6438
0.0220,1.6438
0.0227,1.6387
0.0235,1.6488
0.0242,1.6488
0.0249,1.6387
0.0256,1.6387
0.0263,1.6438
0.0270,1.6438
0.0278,1.6387
0.0286,1.6438
0.0294,1.6387
0.0303,1.6438
0.0310,1.6387
0.0318,1.6387
0.0325,1.6438
0.0333,1.6438
0.0340,1.6438
0.0347,1.6336
0.0354,1.6387
0.0361,1.6438
0.0368,1.6438
0.0375,1.6438
0.0382,1.6438
0.0389,1.6387
0.0396,1.6438
0.0403,1.6387
0.0410,1.6438
0.0417,1.6387
0.0424,1.6438
0.0431,1.6336
0.0437,1.6438
0.0443,1.6336
0.0449,1.6438
0.0456,1.6336
0.0462,1.6336
0.0469,1.6387
0.0476,1.6438
0.0482,1.6438
0.0488,1.6438
0.0495,1.6336
0.0502,1.6438
0.0509,1.6438
0.0515,1.6438
0.0522,1.6438
0.0528,1.6438
0.0534,1.6438
0.0540,1.6438
0.0547,1.6387
0.0553,1.6438
0.0559,1.6336
0.0565,1.6438
0.0571,1.6438
0.0576,1.6387
0.0583,1.6438
0.0589,1.6387
0.0595,1.6438
0.0601,1.6488
0.0606,1.6438
0.0612,1.6438
0.0618,1.6438
0.0624,1.6387
0.0630,1.6438
0.0637,1.6387
0.0643,1.6336
0.0650,1.6438
0.0656,1.6387
0.0663,1.6387
0.0669,1.6336
0.0675,1.6387
0.0682,1.6438
0.0688,1.6438
0.0695,1.6438
0.0701,1.6336
0.0708,1.6438
0.0714,1.6438
0.0721,1.6438
0.0727,1.6387
0.0734,1.6387
0.0741,1.6387
0.0747,1.6438
0.0753,1.6438
0.0760,1.6488
0.0766,1.6387
0.0773,1.6438
0.0779,1.6438
0.0786,1.6438
0.0792,1.6438
0.0799,1.6336
0.0805,1.6387
0.0812,1.6387
0.0819,1.6336
0.0825,1.6387
0.0832,1.6438
0.0839,1.6387
0.0846,1.6438
0.0852,1.6387
0.0859,1.6438
0.0866,1.6438
0.0872,1.6438
0.0879,1.6438
0.0885,1.6387
0.0892,1.6336
0.0898,1.6438
0.0905,1.6438
0.0911,1.6336
0.0918,1.6387
0.0924,1.6438
0.0931,1.6438
0.0937,1.6387
0.0944,1.6438
0.0950,1.6387
0.0957,1.6438
0.0963,1.6438
0.0970,1.6387
0.0976,1.6488
0.0982,1.6387
0.0988,1.6336
0.0995,1.6387
0.1001,1.6438
0.1008,1.6387
0.1014,1.6336
0.1020,1.6387
0.1027,1.6438
0.1034,1.6387
0.1040,1.6285
0.1046,1.6438
0.1053,1.6438
0.1059,1.6438
0.1066,1.6387
0.1072,1.6438
0.1078,1.6438
0.1085,1.6438
0.1091,1.6438
0.1098,1.6387
0.1104,1.6438
0.1111,1.6438
0.1117,1.6438
0.1124,1.6387
0.1131,1.6438
0.1137,1.6387
0.1144,1.6387
0.1150,1.6387
0.1157,1.6438
0.1164,1.6336
0.1170,1.6438
0.1177,1.6336
0.1183,1.6387
0.1190,1.6438
0.1196,1.6438
0.1202,1.6438
0.1209,1.6438
0.1215,1.6438
0.1221,1.6336
0.1228,1.6438
0.1234,1.6387
0.1240,1.6387
0.1247,1.6438
0.1253,1.6438
0.1259,1.6438
0.1265,1.6438
0.1272,1.6387
0.1279,1.6387
0.1286,1.6387
0.1292,1.6438
0.1298,1.6488
0.1305,1.6387
0.1311,1.6387
0.1317,1.6438
0.1324,1.6438
0.1330,1.6387
0.1336,1.6438
0.1343,1.6387
0.1349,1.6488
0.1358,1.6387
0.1367,1.6387
0.1376,1.6387
0.1385,1.6387
0.1394,1.6438
0.1401,1.6438
0.1408,1.6387
0.1416,1.6387
0.1424,1.6387
0.1431,1.6438
0.1440,1.6438
0.1448,1.6438
0.1456,1.6438
0.1465,1.6387
0.1472,1.6438
0.1481,1.6336
0.1489,1.6387
0.1497,1.6387
0.1506,1.6438
0.1515,1.6387
0.1524,1.6438
