Время [c],Напряжение[B]
0.2162,1.9786
0.2168,1.9887
0.2175,1.9887
0.2182,1.9887
0.2188,1.9938
0.2195,1.9786
0.2201,1.9837
0.2207,1.9887
0.2213,1.9887
0.2220,1.9837
0.2227,1.9786
0.2233,1.9887
0.2240,1.9837
0.2247,1.9786
0.2253,1.9837
0.2260,1.9837
0.2267,1.9786
0.2273,1.9786
0.2280,1.9887
0.2287,1.9837
0.2294,1.9837
0.2301,1.9887
0.2307,1.9837
0.2314,1.9887
0.2321,1.9887
0.2327,1.9837
0.2334,1.9786
0.2341,1.9837
0.2348,1.9837
0.2354,1.9837
0.2361,1.9887
0.2368,1.9887
0.2375,1.9837
0.2381,1.9786
0.2388,1.9837
0.2395,1.9887
0.2402,1.9887
0.2409,1.9887
0.2416,1.9887
0.2422,1.9837
0.2429,1.9786
0.2436,1.9735
0.2442,1.9786
0.2449,1.9837
0.2456,1.9837
0.2464,1.9837
0.2470,1.9887
0.2477,1.9837
0.2484,1.9837
0.2490,1.9887
0.2497,1.9735
0.2504,1.9837
0.2511,1.9887
0.2519,1.9887
0.2526,1.9837
0.2532,1.9887
0.2539,1.9735
0.2546,1.9837
0.2553,1.9837
0.2560,1.9887
0.2566,1.9837
0.2574,1.9735
0.2581,1.9786
0.2588,1.9786
0.2594,1.9887
0.2601,1.9837
0.2608,1.9837
0.2615,1.9837
0.2622,1.9837
0.2629,1.9837
0.2636,1.9786
0.2643,1.9837
0.2649,1.9786
0.2656,1.9837
0.2663,1.9735
0.2669,1.9837
0.2676,1.9837
0.2684,1.9735
0.2691,1.9837
0.2697,1.9786
0.2704,1.9837
0.2711,1.9837
0.2717,1.9735
0.2724,1.9837
0.2730,1.9837
0.2737,1.9837
0.2744,1.9837
0.2751,1.9837
0.2758,1.9887
0.2765,1.9837
0.2773,1.9837
0.2780,1.9735
0.2787,1.9786
0.2794,1.9786
0.2801,1.9735
0.2808,1.9786
0.2814,1.9837
0.2821,1.9837
0.2828,1.9837
0.2835,1.9837
0.2842,1.9837
0.2849,1.9786
0.2857,1.9837
0.2865,1.9837
0.2873,1.9837
0.2880,1.9735
0.2886,1.9837
0.2893,1.9887
0.2900,1.9837
0.2907,1.9837
0.2915,1.9786
0.2923,1.9837
0.2930,1.9786
0.2938,1.9786
0.2945,1.9786
0.2953,1.9786
0.2960,1.9786
0.2967,1.9887
0.2974,1.9684
0.2982,1.9735
0.2990,1.9837
0.3000,1.9786
0.3010,1.9786
0.3018,1.9735
0.3026,1.9684
0.3035,1.9837
0.3044,1.9786
0.3052,1.9786
0.3061,1.9837
0.3069,1.9837
0.3077,1.9786
0.3084,1.9684
0.3092,1.9786
0.3100,1.9837
0.3108,1.9837
0.3116,1.9786
0.3124,1.9684
0.3132,1.9786
0.3139,1.9837
0.3146,1.9837
0.3153,1.9837
0.3161,1.9684
0.3168,1.9786
0.3176,1.9786
0.3184,1.9837
0.3191,1.9786
0.3198,1.9735
0.3205,1.9735
0.3213,1.9735
0.3220,1.9786
0.3227,1.9786
0.3235,1.9786
0.3242,1.9786
0.3249,1.9684
0.3256,1.9786
0.3263,1.9786
0.3271,1.9684
0.3279,1.9837
0.3288,1.9786
0.3296,1.9786
0.3306,1.9837
0.3313,1.9786
0.3320,1.9786
0.3327,1.9684
0.3336,1.9786
0.3343,1.9786
0.3350,1.9735
0.3357,1.9735
0.3364,1.9837
0.3372,1.9735
0.3379,1.9786
0.3386,1.9786
0.3393,1.9735
0.3400,1.9786
0.3407,1.9786
0.3414,1.9786
0.3421,1.9786
0.3428,1.9786
0.3435,1.9684
0.3442,1.9786
0.3451,1.9735
0.3458,1.9735
0.3464,1.9786
0.3471,1.9735
0.3478,1.9837
0.3485,1.9837
0.3492,1.9786
0.3499,1.9735
0.3506,1.9735
0.3513,1.9786
0.3522,1.9786
0.3534,1.9684
0.3543,1.9684
0.3552,1.9786
0.3560,1.9786
0.3568,1.9735
0.3576,1.9786
0.3585,1.9837
0.3595,1.9786
0.3604,1.9735
0.3613,1.9735
0.3621,1.9786
0.3628,1.9786
0.3634,1.9684
0.3641,1.9735
0.3648,1.9786
0.3655,1.9735
0.3662,1.9684
0.3669,1.9786
0.3676,1.9786
0.3683,1.9786
0.3690,1.9786
0.3697,1.9684
0.3704,1.9735
0.3711,1.9837
0.3718,1.9786
0.3724,1.9735
0.3731,1.9735
0.3737,1.9684
0.3743,1.9735
0.3749,1.9684
0.3755,1.9786
0.3761,1.9786
0.3767,1.9684
0.3773,1.9786
0.3779,1.9786
0.3786,1.9684
0.3792,1.9684
0.3798,1.9786
0.3804,1.9786
0.3810,1.9786
0.3816,1.9735
0.3822,1.9786
0.3829,1.9837
0.3835,1.9837
0.3841,1.9735
0.3847,1.9786
0.3854,1.9837
0.3860,1.9786
0.3866,1.9786
0.3872,1.9735
0.3878,1.9735
0.3884,1.9837
0.3890,1.9735
0.3897,1.9735
0.3903,1.9786
0.3909,1.9786
0.3915,1.9786
0.3921,1.9837
0.3927,1.9786
0.3934,1.9837
0.3940,1.9837
0.3946,1.9837
0.3952,1.9786
0.3958,1.9837
0.3964,1.9837
0.3970,1.9786
0.3977,1.9786
0.3983,1.9786
0.3989,1.9786
0.3995,1.9837
0.4001,1.9837
0.4008,1.9837
0.4014,1.9837
0.4021,1.9786
0.4027,1.9837
0.4034,1.9837
0.4041,1.9887
0.4047,1.9837
0.4054,1.9786
0.4060,1.9735
0.4067,1.9887
0.4073,1.9786
0.4080,1.9786
0.4086,1.9786
0.4093,1.9786
0.4100,1.9837
0.4106,1.9887
0.4113,1.9786
0.4120,1.9837
0.4126,1.9887
0.4133,1.9837
0.4139,1.9837
0.4146,1.9786
0.4153,1.9837
0.4159,1.9786
0.4172,1.9786
0.4179,1.9735
0.4186,1.9837
0.4193,1.9837
0.4200,1.9837
0.4207,1.9837
0.4215,1.9837
0.4222,1.9887
0.4229,1.9837
0.4237,1.9786
0.4244,1.9887
0.4253,1.9837
0.4261,1.9786
0.4269,1.9887
0.4277,1.9887
0.4284,1.9837
0.4291,1.9837
0.4298,1.9837
0.4307,1.9786
0.4315,1.9837
0.4323,1.9786
0.4330,1.9786
0.4337,1.9735
0.4345,1.9887
0.4354,1.9837
0.4361,1.9837
0.4369,1.9786
0.4377,1.9837
0.4385,1.9887
0.4393,1.9837
0.4400,1.9837
0.4406,1.9837
0.4414,1.9837
0.4421,1.9837
0.4428,1.9837
0.4435,1.9786
0.4441,1.9786
0.4448,1.9887
0.4455,1.9887
0.4462,1.9837
0.4469,1.9735
0.4476,1.9786
0.4483,1.9786
0.4490,1.9837
0.4497,1.9837
0.4504,1.9786
0.4511,1.9837
0.4518,1.9786
0.4525,1.9887
0.4532,1.9837
0.4539,1.9735
0.4545,1.9837
0.4551,1.9837
0.4558,1.9837
0.4564,1.9735
0.4571,1.9735
0.4577,1.9837
0.4583,1.9837
0.4590,1.9837
0.4596,1.9786
0.4602,1.9735
0.4609,1.9735
0.4616,1.9786
0.4623,1.9837
0.4630,1.9786
0.4637,1.9837
0.4643,1.9837
0.4649,1.9735
0.4656,1.9837
0.4662,1.9684
0.4669,1.9837
0.4675,1.9786
0.4681,1.9786
0.4688,1.9837
0.4694,1.9837
0.4700,1.9786
0.4707,1.9735
0.4714,1.9786
0.4720,1.9684
0.4727,1.9786
0.4733,1.9786
0.4740,1.9684
0.4747,1.9837
0.4753,1.9786
0.4760,1.9786
0.4766,1.9735
0.4772,1.9786
0.4779,1.9684
0.4785,1.9684
0.4792,1.9786
0.4799,1.9735
0.4805,1.9786
0.4812,1.9684
0.4819,1.9735
0.4825,1.9786
0.4832,1.9735
0.4840,1.9786
0.4847,1.9684
0.4855,1.9786
0.4862,1.9735
0.4870,1.9735
0.4878,1.9735
0.4885,1.9735
0.4892,1.9786
0.4899,1.9735
0.4906,1.9684
0.4914,1.9735
0.4920,1.9735
0.4927,1.9735
0.4934,1.9684
0.4941,1.9735
0.4948,1.9735
0.4956,1.9684
0.4963,1.9735
0.4970,1.9735
0.4977,1.9786
0.4984,1.9735
0.4991,1.9735
0.4998,1.9735
0.5005,1.9735
0.5012,1.9684
0.5019,1.9684
0.5028,1.9684
0.5036,1.9735
0.5044,1.9735
0.5053,1.9735
0.5061,1.9684
0.5069,1.9684
0.5079,1.9684
0.5089,1.9735
0.5096,1.9684
0.5102,1.9684
0.5109,1.9684
0.5116,1.9735
0.5123,1.9634
0.5130,1.9735
0.5137,1.9684
0.5144,1.9684
0.5151,1.9735
0.5158,1.9583
0.5165,1.9684
0.5172,1.9634
0.5179,1.9684
0.5186,1.9634
0.5192,1.9684
0.5199,1.9684
0.5206,1.9684
0.5213,1.9735
0.5219,1.9684
0.5226,1.9684
0.5233,1.9684
0.5240,1.9684
0.5246,1.9684
0.5253,1.9634
0.5260,1.9634
0.5266,1.9684
0.5273,1.9684
0.5280,1.9684
0.5287,1.9684
0.5294,1.9634
0.5301,1.9634
0.5307,1.9684
0.5314,1.9735
0.5321,1.9684
0.5327,1.9684
0.5334,1.9634
0.5341,1.9634
0.5348,1.9634
0.5355,1.9684
0.5362,1.9684
0.5368,1.9634
0.5375,1.9684
0.5382,1.9735
0.5389,1.9684
0.5395,1.9634
0.5402,1.9684
0.5409,1.9634
0.5416,1.9684
0.5422,1.9684
0.5429,1.9634
0.5436,1.9583
0.5443,1.9735
0.5449,1.9684
0.5456,1.9634
0.5463,1.9684
0.5469,1.9684
0.5476,1.9583
0.5483,1.9532
0.5490,1.9684
0.5497,1.9634
0.5504,1.9684
0.5511,1.9634
0.5518,1.9583
0.5525,1.9583
0.5531,1.9634
0.5539,1.9684
0.5546,1.9634
0.5552,1.9634
0.5558,1.9634
0.5563,1.9583
0.5569,1.9634
0.5574,1.9684
0.5579,1.9634
0.5585,1.9684
0.5590,1.9634
0.5596,1.9684
0.5601,1.9684
0.5607,1.9634
0.5612,1.9583
0.5618,1.9684
0.5624,1.9634
0.5629,1.9583
0.5635,1.9583
0.5640,1.9684
0.5646,1.9583
0.5651,1.9634
0.5657,1.9634
0.5663,1.9583
0.5669,1.9684
0.5676,1.9532
0.5683,1.9532
0.5690,1.9634
0.5697,1.9684
0.5704,1.9634
0.5711,1.9634
0.5717,1.9634
0.5724,1.9583
0.5731,1.9634
0.5737,1.9634
0.5744,1.9634
0.5751,1.9634
0.5757,1.9634
0.5763,1.9634
0.5769,1.9634
0.5774,1.9532
0.5780,1.9634
0.5785,1.9583
0.5791,1.9532
0.5797,1.9634
0.5802,1.9583
0.5809,1.9583
0.5815,1.9634
0.5822,1.9634
0.5829,1.9634
0.5836,1.9532
0.5844,1.9532
0.5850,1.9634
0.5857,1.9583
0.5864,1.9634
0.5871,1.9583
0.5877,1.9634
0.5884,1.9583
0.5891,1.9634
0.5897,1.9634
0.5904,1.9634
0.5911,1.9532
0.5918,1.9634
0.5924,1.9532
0.5931,1.9482
0.5938,1.9532
0.5945,1.9634
0.5952,1.9532
0.5958,1.9583
0.5965,1.9634
0.5971,1.9634
0.5978,1.9532
0.5985,1.9583
0.5993,1.9583
0.6000,1.9634
0.6006,1.9583
0.6013,1.9634
0.6019,1.9583
0.6026,1.9532
0.6033,1.9634
0.6040,1.9532
0.6047,1.9482
0.6054,1.9583
0.6061,1.9634
0.6068,1.9583
0.6074,1.9532
0.6080,1.9583
0.6087,1.9634
0.6093,1.9482
0.6100,1.9583
0.6107,1.9583
0.6114,1.9532
0.6121,1.9583
0.6128,1.9583
0.6135,1.9583
0.6142,1.9583
0.6148,1.9583
0.6155,1.9532
0.6161,1.9532
0.6167,1.9583
0.6175,1.9583
0.6181,1.9583
0.6189,1.9634
0.6196,1.9583
0.6203,1.9482
0.6210,1.9482
0.6217,1.9634
0.6224,1.9532
0.6230,1.9532
0.6237,1.9532
0.6243,1.9532
0.6250,1.9583
0.6256,1.9532
0.6263,1.9532
0.6270,1.9482
0.6277,1.9583
0.6284,1.9583
0.6291,1.9583
0.6298,1.9583
0.6305,1.9634
0.6314,1.9583
0.6322,1.9532
0.6329,1.9482
0.6339,1.9583
0.6351,1.9634
0.6359,1.9482
0.6367,1.9583
0.6374,1.9532
0.6382,1.9583
0.6390,1.9583
0.6396,1.9583
0.6403,1.9583
0.6411,1.9583
0.6419,1.9482
0.6426,1.9634
