Время [c],Напряжение[B]
0.2088,2.0040
0.2094,2.0040
0.2102,2.0090
0.2109,1.9989
0.2116,1.9989
0.2122,2.0090
0.2129,2.0040
0.2136,1.9989
0.2143,1.9989
0.2149,2.0040
0.2156,2.0090
0.2163,2.0040
0.2169,2.0090
0.2176,2.0090
0.2183,2.0090
0.2189,2.0040
0.2198,2.0090
0.2205,2.0090
0.2210,2.0090
0.2216,2.0090
0.2222,2.0090
0.2227,1.9989
0.2233,2.0090
0.2239,2.0040
0.2247,2.0040
0.2256,2.0040
0.2265,1.9989
0.2272,2.0090
0.2279,2.0090
0.2287,2.0141
0.2296,2.0090
0.2304,2.0090
0.2311,2.0090
0.2318,2.0090
0.2326,2.0090
0.2332,2.0040
0.2339,2.0090
0.2346,1.9989
0.2354,2.0090
0.2361,2.0141
0.2368,2.0090
0.2376,2.0090
0.2383,2.0090
0.2390,2.0040
0.2399,2.0090
0.2406,2.0141
0.2414,2.0090
0.2421,2.0090
0.2429,2.0090
0.2436,2.0141
0.2443,2.0090
0.2450,2.0090
0.2457,2.0090
0.2464,2.0090
0.2471,2.0090
0.2478,2.0090
0.2487,2.0090
0.2494,2.0090
0.2502,2.0090
0.2509,2.0040
0.2517,2.0090
0.2524,2.0090
0.2532,1.9938
0.2539,2.0040
0.2547,1.9989
0.2554,2.0040
0.2561,2.0040
0.2569,2.0090
0.2577,2.0040
0.2586,2.0090
0.2595,2.0040
0.2604,2.0040
0.2612,2.0090
0.2619,2.0090
0.2626,1.9989
0.2634,2.0090
0.2641,1.9989
0.2648,2.0040
0.2659,1.9989
0.2668,2.0040
0.2678,1.9989
0.2685,1.9938
0.2692,1.9989
0.2699,2.0040
0.2708,1.9887
0.2717,1.9989
0.2725,1.9989
0.2733,1.9989
0.2742,1.9887
0.2751,1.9938
0.2759,2.0040
0.2767,1.9989
0.2776,1.9938
0.2783,1.9989
0.2791,1.9887
0.2799,1.9989
0.2805,1.9887
0.2812,1.9887
0.2818,1.9887
0.2825,1.9989
0.2832,1.9989
0.2838,1.9938
0.2846,1.9887
0.2853,1.9887
0.2860,1.9938
0.2867,1.9938
0.2874,1.9938
0.2881,1.9989
0.2888,1.9938
0.2895,1.9938
0.2903,1.9938
0.2910,1.9938
0.2917,1.9938
0.2924,1.9887
0.2932,1.9938
0.2939,1.9938
0.2946,1.9989
0.2953,1.9938
0.2961,1.9837
0.2968,1.9887
0.2975,1.9887
0.2982,1.9837
0.2989,1.9887
0.2996,1.9837
0.3003,1.9887
0.3011,1.9887
0.3018,1.9887
0.3025,1.9887
0.3032,1.9887
0.3039,1.9887
0.3046,1.9786
0.3053,1.9887
0.3061,1.9887
0.3068,1.9887
0.3075,1.9887
0.3082,1.9837
0.3089,1.9837
0.3095,1.9887
0.3102,1.9837
0.3108,1.9887
0.3115,1.9837
0.3121,1.9837
0.3128,1.9837
0.3135,1.9887
0.3141,1.9887
0.3148,1.9837
0.3155,1.9837
0.3161,1.9837
0.3169,1.9837
0.3175,1.9887
0.3182,1.9837
0.3189,1.9786
0.3196,1.9837
0.3202,1.9786
0.3208,1.9837
0.3215,1.9735
0.3221,1.9786
0.3228,1.9837
0.3234,1.9786
0.3241,1.9887
0.3248,1.9837
0.3255,1.9786
0.3263,1.9735
0.3270,1.9837
0.3277,1.9837
0.3284,1.9837
0.3291,1.9786
0.3298,1.9786
0.3305,1.9837
0.3312,1.9786
0.3319,1.9837
0.3326,1.9786
0.3333,1.9786
0.3341,1.9786
0.3348,1.9786
0.3355,1.9837
0.3363,1.9837
0.3370,1.9786
0.3377,1.9786
0.3385,1.9786
0.3393,1.9786
0.3400,1.9786
0.3409,1.9786
0.3417,1.9786
0.3426,1.9786
0.3434,1.9786
