Время [c],Напряжение[B]
0.0000,1.1466
0.0007,1.1415
0.0013,1.1364
0.0019,1.1364
0.0025,1.1364
0.0032,1.1415
0.0038,1.1415
0.0044,1.1415
0.0050,1.1415
0.0057,1.1364
0.0063,1.1415
0.0069,1.1364
0.0075,1.1415
0.0082,1.1415
0.0088,1.1415
0.0094,1.1415
0.0101,1.1415
0.0107,1.1364
0.0113,1.1364
0.0120,1.1415
0.0126,1.1415
0.0133,1.1415
0.0139,1.1415
0.0147,1.1415
0.0154,1.1415
0.0161,1.1364
0.0169,1.1364
0.0176,1.1415
0.0183,1.1364
0.0190,1.1466
0.0196,1.1415
0.0203,1.1364
0.0210,1.1364
0.0218,1.1415
0.0224,1.1415
0.0234,1.1415
0.0240,1.1364
0.0247,1.1364
0.0254,1.1415
0.0261,1.1415
0.0268,1.1415
0.0274,1.1415
0.0280,1.1415
0.0286,1.1415
0.0293,1.1364
0.0301,1.1415
0.0307,1.1364
0.0315,1.1364
0.0323,1.1415
0.0330,1.1364
0.0337,1.1415
0.0345,1.1415
0.0352,1.1364
0.0359,1.1415
0.0366,1.1415
0.0374,1.1415
0.0381,1.1364
0.0388,1.1364
0.0396,1.1415
0.0403,1.1415
0.0411,1.1364
0.0417,1.1415
0.0424,1.1364
0.0431,1.1466
0.0437,1.1415
0.0444,1.1364
0.0450,1.1415
0.0457,1.1415
0.0463,1.1415
0.0470,1.1415
0.0476,1.1415
0.0482,1.1364
0.0489,1.1415
0.0495,1.1364
0.0503,1.1364
0.0509,1.1364
0.0516,1.1415
0.0522,1.1415
0.0529,1.1415
0.0535,1.1415
0.0541,1.1415
0.0547,1.1313
0.0552,1.1364
0.0558,1.1415
0.0564,1.1415
0.0569,1.1415
0.0575,1.1364
0.0580,1.1364
0.0586,1.1364
0.0592,1.1364
0.0597,1.1364
0.0603,1.1415
0.0609,1.1415
0.0615,1.1415
0.0621,1.1364
0.0627,1.1364
0.0696,1.1364
0.0702,1.1415
0.0707,1.1364
0.0713,1.1415
0.0719,1.1364
0.0725,1.1415
0.0732,1.1364
0.0739,1.1364
0.0745,1.1415
0.0752,1.1364
0.0759,1.1364
0.0766,1.1415
0.0773,1.1364
0.0779,1.1466
0.0786,1.1415
0.0793,1.1364
0.0799,1.1415
0.0806,1.1415
0.0813,1.1415
0.0819,1.1415
0.0826,1.1415
0.0833,1.1415
0.0839,1.1364
0.0846,1.1364
0.0852,1.1364
0.0859,1.1415
0.0865,1.1415
0.0872,1.1364
0.0878,1.1415
0.0884,1.1364
0.0891,1.1415
0.0897,1.1364
0.0904,1.1364
0.0911,1.1364
0.0918,1.1364
0.0924,1.1415
0.0931,1.1415
0.0938,1.1415
0.0945,1.1364
0.0952,1.1364
0.0958,1.1415
0.0965,1.1364
0.0972,1.1364
0.0979,1.1364
0.0985,1.1415
0.0993,1.1364
0.1000,1.1415
0.1006,1.1364
0.1013,1.1364
0.1020,1.1415
0.1027,1.1364
0.1033,1.1415
0.1040,1.1415
0.1047,1.1415
0.1054,1.1364
0.1060,1.1466
0.1066,1.1466
0.1073,1.1415
0.1080,1.1415
0.1086,1.1415
0.1092,1.1415
0.1098,1.1364
0.1105,1.1415
0.1111,1.1415
0.1117,1.1415
0.1123,1.1313
0.1130,1.1415
0.1137,1.1415
0.1143,1.1364
0.1149,1.1415
0.1156,1.1364
0.1162,1.1415
0.1169,1.1364
0.1175,1.1364
0.1182,1.1415
0.1189,1.1415
0.1196,1.1364
0.1204,1.1364
0.1211,1.1466
0.1218,1.1364
0.1225,1.1364
0.1231,1.1415
0.1237,1.1415
0.1243,1.1364
0.1250,1.1415
0.1257,1.1364
0.1264,1.1364
0.1270,1.1364
0.1276,1.1364
0.1283,1.1364
0.1289,1.1415
0.1296,1.1364
0.1302,1.1415
0.1308,1.1415
0.1315,1.1415
0.1321,1.1415
0.1327,1.1364
0.1333,1.1415
0.1340,1.1364
0.1347,1.1415
0.1353,1.1415
0.1359,1.1415
0.1366,1.1364
0.1373,1.1364
0.1379,1.1415
0.1385,1.1364
0.1391,1.1364
0.1398,1.1364
0.1404,1.1415
0.1410,1.1364
0.1416,1.1364
0.1423,1.1466
0.1430,1.1415
0.1436,1.1364
0.1442,1.1364
0.1449,1.1364
0.1455,1.1415
0.1461,1.1415
0.1467,1.1415
0.1473,1.1364
0.1482,1.1364
0.1489,1.1364
0.1496,1.1364
0.1504,1.1466
0.1514,1.1364
0.1522,1.1415
0.1530,1.1415
0.1537,1.1415
0.1546,1.1415
0.1555,1.1364
0.1564,1.1415
0.1573,1.1364
0.1581,1.1415
0.1588,1.1364
0.1595,1.1364
0.1602,1.1415
0.1609,1.1415
0.1616,1.1415
0.1624,1.1415
0.1631,1.1364
0.1640,1.1364
0.1647,1.1364
0.1654,1.1415
0.1662,1.1415
0.1671,1.1313
0.1679,1.1364
0.1687,1.1415
0.1696,1.1364
0.1705,1.1364
0.1712,1.1415
0.1720,1.1364
0.1728,1.1364
0.1735,1.1364
0.1742,1.1364
0.1750,1.1415
0.1759,1.1415
0.1765,1.1364
0.1772,1.1364
0.1779,1.1415
0.1786,1.1415
0.1793,1.1364
0.1801,1.1263
0.1808,1.1415
0.1815,1.1364
0.1826,1.1364
0.1836,1.1415
0.1843,1.1364
0.1850,1.1364
0.1858,1.1415
0.1865,1.1415
0.1872,1.1364
0.1880,1.1415
0.1887,1.1364
0.1895,1.1364
0.1905,1.1364
0.1914,1.1364
0.1922,1.1364
0.1929,1.1364
0.1936,1.1415
0.1945,1.1364
0.1953,1.1364
0.1961,1.1364
0.1970,1.1364
0.1978,1.1415
0.1986,1.1415
0.1994,1.1415
0.2001,1.1415
0.2007,1.1364
0.2014,1.1364
0.2020,1.1364
0.2027,1.1364
0.2036,1.1415
0.2043,1.1415
0.2050,1.1415
0.2056,1.1415
0.2063,1.1364
0.2069,1.1466
0.2130,1.1364
0.2136,1.1364
0.2142,1.1415
0.2148,1.1415
0.2154,1.1415
0.2160,1.1415
0.2166,1.1364
0.2173,1.1415
0.2179,1.1364
0.2186,1.1415
0.2193,1.1415
0.2199,1.1364
0.2206,1.1364
0.2212,1.1415
0.2219,1.1364
0.2225,1.1415
0.2232,1.1415
0.2238,1.1364
0.2245,1.1364
0.2252,1.1415
0.2258,1.1415
0.2265,1.1364
0.2271,1.1415
0.2278,1.1364
0.2284,1.1364
0.2291,1.1364
0.2297,1.1313
0.2304,1.1364
0.2310,1.1364
0.2316,1.1415
0.2322,1.1364
0.2328,1.1415
0.2333,1.1364
0.2340,1.1364
0.2347,1.1415
0.2353,1.1364
0.2360,1.1364
0.2366,1.1415
0.2372,1.1364
0.2378,1.1415
0.2384,1.1364
0.2391,1.1415
0.2397,1.1364
0.2403,1.1364
0.2409,1.1364
0.2415,1.1415
0.2422,1.1364
0.2428,1.1364
0.2434,1.1364
0.2441,1.1415
0.2447,1.1364
0.2453,1.1415
0.2460,1.1364
0.2467,1.1415
0.2474,1.1364
0.2480,1.1364
0.2486,1.1415
0.2492,1.1364
0.2499,1.1364
0.2505,1.1415
