Время [c],Напряжение[B]
0.2258,0.4820
0.2266,0.4820
0.2272,0.4921
0.2281,0.4870
0.2288,0.4820
0.2295,0.4870
0.2302,0.4820
0.2309,0.4921
0.2316,0.4921
0.2323,0.4820
0.2329,0.4870
0.2336,0.4820
0.2343,0.4820
0.2350,0.4870
0.2357,0.4870
0.2363,0.4820
0.2370,0.4820
0.2376,0.4921
0.2382,0.4820
0.2389,0.4870
0.2396,0.4820
0.2403,0.4870
0.2410,0.4921
0.2417,0.4820
0.2423,0.4870
0.2429,0.4820
0.2435,0.4820
0.2440,0.4820
0.2446,0.4870
0.2452,0.4870
0.2458,0.4820
0.2464,0.4921
0.2469,0.4870
0.2475,0.4870
0.2481,0.4820
0.2487,0.4870
0.2493,0.4870
0.2499,0.4870
0.2505,0.4820
0.2511,0.4820
0.2517,0.4820
0.2522,0.4870
0.2528,0.4870
0.2534,0.4820
0.2540,0.4870
0.2546,0.4870
0.2552,0.4769
0.2558,0.4820
0.2563,0.4870
0.2569,0.4870
0.2575,0.4820
0.2581,0.4820
0.2588,0.4820
0.2594,0.4870
0.2601,0.4820
0.2607,0.4870
0.2613,0.4870
0.2620,0.4870
0.2626,0.4870
0.2633,0.4921
0.2639,0.4870
0.2646,0.4820
0.2653,0.4820
0.2660,0.4870
0.2667,0.4820
0.2673,0.4921
0.2680,0.4870
0.2687,0.4870
0.2693,0.4820
0.2700,0.4820
0.2706,0.4870
0.2712,0.4870
0.2719,0.4820
0.2725,0.4870
0.2731,0.4870
0.2738,0.4870
0.2745,0.4870
0.2751,0.4820
0.2758,0.4870
0.2765,0.4870
0.2771,0.4870
0.2777,0.4870
0.2784,0.4820
0.2791,0.4820
0.2797,0.4870
0.2803,0.4921
0.2810,0.4820
0.2817,0.4820
0.2824,0.4870
0.2830,0.4921
0.2837,0.4870
0.2844,0.4921
0.2850,0.4870
0.2856,0.4870
0.2863,0.4820
0.2869,0.4870
0.2875,0.4870
0.2882,0.4870
0.2888,0.4921
0.2894,0.4870
0.2901,0.4870
0.2907,0.4870
0.2914,0.4870
0.2921,0.4870
0.2927,0.4870
0.2934,0.4870
0.2940,0.4820
0.2946,0.4820
0.2952,0.4870
0.2958,0.4820
0.2965,0.4870
0.2972,0.4820
0.2979,0.4870
0.2986,0.4820
0.2993,0.4820
0.3000,0.4870
0.3006,0.4870
0.3012,0.4870
0.3019,0.4870
0.3025,0.4870
0.3032,0.4820
0.3038,0.4820
0.3045,0.4820
0.3054,0.4820
0.3064,0.4820
0.3072,0.4870
0.3081,0.4820
0.3091,0.4870
0.3097,0.4870
0.3104,0.4820
0.3111,0.4820
0.3121,0.4870
0.3130,0.4820
0.3138,0.4870
0.3147,0.4820
0.3156,0.4870
0.3166,0.4870
0.3174,0.4820
0.3181,0.4820
0.3188,0.4870
0.3195,0.4820
0.3202,0.4820
0.3208,0.4870
0.3216,0.4820
0.3223,0.4820
0.3230,0.4820
0.3238,0.4870
0.3246,0.4820
0.3253,0.4921
0.3262,0.4820
0.3270,0.4870
0.3278,0.4820
0.3286,0.4820
0.3294,0.4870
0.3302,0.4870
0.3310,0.4921
0.3317,0.4870
0.3325,0.4820
0.3333,0.4820
0.3341,0.4870
0.3348,0.4870
0.3356,0.4870
0.3364,0.4820
0.3372,0.4870
0.3380,0.4870
0.3388,0.4921
0.3395,0.4820
0.3402,0.4870
0.3410,0.4820
0.3418,0.4820
0.3426,0.4870
0.3433,0.4870
0.3441,0.4820
0.3449,0.4820
0.3457,0.4820
0.3466,0.4820
0.3473,0.4870
0.3481,0.4820
0.3489,0.4870
0.3497,0.4820
0.3505,0.4870
0.3513,0.4870
0.3521,0.4820
0.3529,0.4870
0.3537,0.4820
0.3545,0.4820
0.3552,0.4820
0.3559,0.4820
0.3566,0.4820
0.3573,0.4820
0.3581,0.4870
0.3588,0.4820
0.3596,0.4870
0.3603,0.4820
0.3611,0.4820
0.3618,0.4820
0.3625,0.4769
0.3632,0.4870
0.3640,0.4870
0.3647,0.4820
0.3655,0.4870
0.3663,0.4870
0.3671,0.4870
0.3679,0.4921
0.3688,0.4870
0.3696,0.4870
0.3704,0.4820
0.3711,0.4820
0.3718,0.4870
0.3725,0.4870
0.3731,0.4820
0.3738,0.4870
0.3745,0.4820
0.3751,0.4870
0.3758,0.4870
0.3765,0.4870
0.3772,0.4820
0.3779,0.4820
0.3786,0.4820
0.3792,0.4870
0.3799,0.4820
0.3806,0.4870
0.3812,0.4870
0.3819,0.4820
0.3826,0.4820
0.3832,0.4870
0.3838,0.4921
0.3844,0.4870
0.3851,0.4870
0.3858,0.4769
0.3865,0.4870
0.3872,0.4870
0.3879,0.4820
0.3886,0.4870
0.3892,0.4870
0.3899,0.4870
0.3906,0.4870
0.3912,0.4870
0.3919,0.4870
0.3926,0.4870
0.3933,0.4870
0.3939,0.4820
0.3946,0.4870
0.3953,0.4870
0.3960,0.4870
0.3967,0.4820
0.3974,0.4870
0.3981,0.4820
0.3988,0.4820
0.3995,0.4820
0.4002,0.4870
0.4009,0.4820
0.4016,0.4820
0.4023,0.4870
0.4030,0.4870
0.4037,0.4820
0.4044,0.4870
0.4050,0.4820
0.4057,0.4820
0.4064,0.4870
0.4071,0.4870
0.4078,0.4870
0.4084,0.4820
0.4092,0.4870
0.4099,0.4820
0.4106,0.4820
0.4113,0.4870
0.4120,0.4820
0.4128,0.4820
0.4135,0.4870
0.4142,0.4820
0.4149,0.4820
0.4156,0.4870
0.4164,0.4820
0.4171,0.4870
0.4178,0.4820
0.4184,0.4870
0.4192,0.4820
0.4200,0.4820
