Время [c],Напряжение[B]
0.2272,0.1928
0.2279,0.1928
0.2287,0.1928
0.2295,0.1928
0.2302,0.1979
0.2309,0.1928
0.2316,0.1979
0.2324,0.1928
0.2332,0.1928
0.2339,0.1979
0.2347,0.1928
0.2354,0.1928
0.2362,0.1877
0.2369,0.1877
0.2376,0.1928
0.2384,0.1928
0.2393,0.1877
0.2402,0.1877
0.2412,0.1877
0.2420,0.1928
0.2428,0.1928
0.2435,0.1877
0.2443,0.1877
0.2451,0.1979
0.2458,0.1928
0.2470,0.1928
0.2481,0.1877
0.2493,0.1928
0.2501,0.1979
0.2508,0.1979
0.2518,0.1928
0.2528,0.1877
0.2539,0.1928
0.2549,0.1928
0.2558,0.1928
0.2567,0.1928
0.2577,0.1928
0.2587,0.1877
0.2596,0.1877
0.2605,0.1928
0.2613,0.1877
0.2620,0.1928
0.2627,0.1928
0.2634,0.1928
0.2641,0.1928
0.2648,0.1877
0.2655,0.1928
0.2663,0.1877
0.2670,0.1928
0.2677,0.1928
0.2685,0.1877
0.2692,0.1877
0.2699,0.1928
0.2706,0.1928
0.2713,0.1928
0.2720,0.1928
0.2727,0.1979
0.2735,0.1928
0.2742,0.1928
0.2749,0.1928
0.2756,0.1877
0.2763,0.1928
0.2770,0.1928
0.2777,0.1877
0.2784,0.1877
0.2791,0.1877
0.2798,0.1928
0.2805,0.1877
0.2812,0.1877
0.2819,0.1928
0.2827,0.1928
0.2834,0.1877
0.2841,0.1877
0.2848,0.1928
0.2855,0.1928
0.2862,0.1877
0.2869,0.1877
0.2876,0.1877
0.2883,0.1877
0.2890,0.1928
0.2897,0.1928
0.2904,0.1877
0.2912,0.1928
0.2919,0.1928
0.2926,0.1928
0.2932,0.1928
0.2939,0.1877
0.2946,0.1928
0.2953,0.1877
0.2960,0.1928
0.2968,0.1877
0.2974,0.1928
0.2981,0.1877
0.2989,0.1928
0.2996,0.1928
0.3003,0.1826
0.3010,0.1928
0.3017,0.1877
0.3024,0.1877
0.3031,0.1928
0.3038,0.1928
0.3045,0.1928
0.3052,0.1928
0.3059,0.1877
0.3066,0.1877
0.3073,0.1877
0.3080,0.1877
0.3087,0.1877
0.3094,0.1877
0.3101,0.1877
0.3108,0.1928
0.3116,0.1877
0.3123,0.1877
0.3130,0.1877
0.3137,0.1928
0.3143,0.1877
0.3150,0.1877
0.3158,0.1877
0.3165,0.1877
0.3172,0.1928
0.3179,0.1877
0.3186,0.1877
0.3193,0.1928
0.3200,0.1877
0.3207,0.1928
0.3214,0.1928
0.3221,0.1928
0.3228,0.1928
0.3235,0.1928
0.3242,0.1877
0.3248,0.1928
0.3255,0.1877
0.3262,0.1877
0.3269,0.1928
0.3277,0.1928
0.3284,0.1928
0.3291,0.1877
0.3298,0.1877
0.3306,0.1928
0.3313,0.1877
0.3321,0.1877
0.3329,0.1928
0.3336,0.1877
0.3344,0.1979
0.3352,0.1877
0.3359,0.1877
0.3367,0.1877
0.3375,0.1877
0.3382,0.1877
0.3390,0.1826
0.3398,0.1877
0.3406,0.1877
0.3413,0.1928
0.3421,0.1877
0.3431,0.1877
0.3440,0.1877
0.3449,0.1877
0.3459,0.1826
0.3468,0.1928
0.3475,0.1877
0.3482,0.1877
0.3492,0.1877
0.3499,0.1877
0.3506,0.1877
0.3513,0.1826
0.3520,0.1877
0.3527,0.1877
0.3535,0.1877
0.3542,0.1826
0.3549,0.1877
0.3557,0.1826
0.3564,0.1928
0.3572,0.1877
0.3579,0.1877
0.3586,0.1928
0.3593,0.1877
0.3600,0.1826
0.3608,0.1877
0.3615,0.1826
0.3622,0.1826
0.3629,0.1877
0.3637,0.1877
0.3644,0.1877
0.3651,0.1877
0.3658,0.1928
0.3666,0.1877
0.3673,0.1877
0.3680,0.1826
0.3687,0.1877
0.3694,0.1826
0.3702,0.1877
0.3708,0.1877
0.3715,0.1877
0.3722,0.1877
0.3729,0.1877
0.3737,0.1877
0.3744,0.1877
0.3751,0.1877
0.3758,0.1928
0.3765,0.1928
0.3772,0.1928
0.3779,0.1877
0.3786,0.1877
0.3793,0.1877
0.3800,0.1826
0.3807,0.1928
0.3814,0.1877
0.3821,0.1877
0.3828,0.1826
0.3835,0.1826
0.3842,0.1877
0.3849,0.1877
0.3856,0.1877
0.3863,0.1928
0.3870,0.1877
0.3877,0.1877
0.3884,0.1877
0.3891,0.1928
0.3898,0.1877
0.3905,0.1877
0.3912,0.1826
